29,Pinaceae,Abies pindrow,0.380,India,109
52,Fabaceae,Acacia arabica,0.860,India,26
78,Fabaceae,Acacia chundra,0.980,India,109
115,Fabaceae,Acacia ferruginea,0.880,India,109
166,Fabaceae,Acacia modesta,0.835,India,135
219,Fabaceae,Acacia suma,1.210,India,26
236,Sapindaceae,Acer caesium,0.499,India,135
237,Sapindaceae,Acer campbellii,0.499,India,135
258,Sapindaceae,Acer oblongum,0.603,India,135
261,Sapindaceae,Acer pictum,0.629,India,135
269,Sapindaceae,Acer sterculiaceum,0.353,India,135
306,Fabaceae,Acrocarpus fraxinifolius,0.680,India,26
348,Fabaceae,Adenanthera pavonina,0.880,India,26
355,Rubiaceae,Adina cordifolia,0.590,India,109
393,Rutaceae,Aegle marmelos,0.880,India,26
398,Sapindaceae,Aesculus indica,0.465,India,135
489,Meliaceae,Aglaia hiernii,0.500,India,109
542,Simaroubaceae,Ailanthus excelsa,0.400,India,26
568,Cornaceae,Alangium salviifolium,0.800,India,26
584,Fabaceae,Albizia amara,0.723,India,135
630,Fabaceae,Albizia lebbeck,0.800,India,26
637,Fabaceae,Albizia lucida,0.880,India,26
657,Fabaceae,Albizia procera,0.640,India,26
716,Euphorbiaceae,Aleurites moluccana,0.600,India,26
814,Betulaceae,Alnus nitida,0.370,India,135
896,Apocynaceae,Alstonia scholaris,0.440,India,26
947,Fabaceae,Amherstia nobilis,0.800,India,26
1152,Annonaceae,Annona squamosa,0.730,India,26
1155,Combretaceae,Anogeissus acuminata,0.880,India,26
1159,Combretaceae,Anogeissus pendula,0.940,India,26
1161,Combretaceae,Anogeissus sericea,0.740,India,109
1275,Meliaceae,Aphanamixis polystachya,0.640,India,26
1407,Myrsinaceae,Ardisia solanacea,0.620,India,26
1425,Moraceae,Artocarpus chaplasha,0.450,India,109
1442,Moraceae,Artocarpus hirsutus,0.520,India,109
1452,Moraceae,Artocarpus lakoocha,0.640,India,26
1658,Oxalidaceae,Averrhoa bilimbi,0.560,India,26
1662,Oxalidaceae,Averrhoa carambola,0.600,India,26
1783,Lecythidaceae,Barringtonia acutangula,0.620,India,26
1796,Lecythidaceae,Barringtonia racemosa,0.430,India,26
1814,Fabaceae,Bauhinia purpurea,0.720,India,26
1817,Fabaceae,Bauhinia variegata,0.700,India,26
1929,Malvaceae,Berrya ammonilla,0.990,India,26
1930,Malvaceae,Berrya cordifolia,0.770,India,109
1976,Phyllanthaceae,Bischofia javanica,0.720,India,26
2071,Burseraceae,Boswellia serrata,0.500,India,109
2190,Rubiaceae,Breonia chinensis,0.420,India,109
2226,Phyllanthaceae,Bridelia retusa,0.500,India,109
2336,Anacardiaceae,Buchanania angustifolia,0.508,India,135
2346,Anacardiaceae,Buchanania latifolia,0.460,India,109
2425,Fabaceae,Butea monosperma,0.560,India,26
2429,Buxaceae,Buxus wallichiana,0.706,India,135
2473,Fabaceae,Caesalpinia coriaria,1.180,India,26
2519,Myrtaceae,Callistemon lanceolatus,0.860,India,26
2609,Clusiaceae,Calophyllum polyanthum,0.439,India,135
2621,Clusiaceae,Calophyllum tomentosum,0.530,India,109
2626,Clusiaceae,Calophyllum wightianum,0.570,India,109
2721,Burseraceae,Canarium bengalense,0.560,India,109
2788,Burseraceae,Canarium sikkimense,0.250,India,135
2789,Burseraceae,Canarium strictum,0.530,India,109
2860,Meliaceae,Carapa obovata,0.663,India,135
2883,Lecythidaceae,Careya arborea,0.800,India,26
3017,Salicaceae,Casearia tomentosa,0.640,India,26
3028,Fabaceae,Cassia fistula,0.960,India,26
3037,Fabaceae,Cassia marginata,1.280,India,26
3041,Fabaceae,Cassia nodosa,0.640,India,26
3044,Fabaceae,Cassia siamea,0.860,India,26
3160,Casuarinaceae,Casuarina equisetifolia,0.960,India,26
3269,Meliaceae,Cedrela toona,0.560,India,26
3287,Pinaceae,Cedrus deodara,0.470,India,109
3657,Lauraceae,Cinnamomum camphora,0.620,India,26
3660,Lauraceae,Cinnamomum cecidodaphne,0.448,India,135
3699,Lauraceae,Cinnamomum tamala,0.640,India,26
3701,Lauraceae,Cinnamomum tavoyanum,0.491,India,135
3732,Rutaceae,Citrus sinensis,0.780,India,26
3827,Bixaceae,Cochlospermum gossypium,0.270,India,26
4015,Boraginaceae,Cordia dichotoma,0.360,India,26
4016,Boraginaceae,Cordia dichotoma,0.670,India,26
4071,Boraginaceae,Cordia vestita,0.680,India,135
4503,Cupressaceae,Cupressus torulosa,0.440,India,109
4572,Fabaceae,Cynometra polyandra,0.758,India,135
4732,Fabaceae,Dalbergia cultrata,0.770,India,109
4758,Fabaceae,Dalbergia latifolia,0.800,India,26
4787,Fabaceae,Dalbergia sissoo,0.760,India,26
5030,Dilleniaceae,Dillenia indica,0.700,India,26
5039,Dilleniaceae,Dillenia parviflora,0.560,India,135
5112,Ebenaceae,Diospyros cordifolia,0.730,India,26
5203,Ebenaceae,Diospyros melanoxylon,0.680,India,109
5231,Ebenaceae,Diospyros peregrina,0.720,India,26
5264,Ebenaceae,Diospyros tomentosa,0.706,India,135
5286,Sapotaceae,Diploknema butyracea,0.630,India,109
5316,Dipterocarpaceae,Dipterocarpus bourdilloni,0.580,India,109
5354,Dipterocarpaceae,Dipterocarpus indicus,0.620,India,109
5364,Dipterocarpaceae,Dipterocarpus macrocarpus,0.600,India,109
5397,Dipterocarpaceae,Dipterocarpus zeylanicus,0.690,India,105
5464,Bignoniaceae,Dolichandrone spathacea,0.560,India,26
5584,Malvaceae,Durio ceylanicus,0.538,India,105
5653,Meliaceae,Dysoxylum malabaricum,0.580,India,109
5705,Boraginaceae,Ehretia serrata,0.640,India,26
5737,Elaeocarpaceae,Elaeocarpus ferrugineus,0.517,India,135
5787,Elaeocarpaceae,Elaeocarpus tuberculatus,0.400,India,109
5792,Celastraceae,Elaeodendron glaucum,0.720,India,26
5793,Celastraceae,Elaeodendron glaucum,0.800,India,26
6059,Rosaceae,Eriobotrya japonica,0.880,India,26
6112,Fabaceae,Erythrina indica,0.320,India,26
6738,Myrtaceae,Eugenia alternifolia,0.844,India,135
6769,Myrtaceae,Eugenia gardneri,0.760,India,109
6853,Euphorbiaceae,Euphorbia neriifolia,0.410,India,26
